question_id,method,answerable,ground_truth,final_answer,refused,cited_chunks,latency_ms,cost_usd,is_correct,has_unsupported_claims,refusal_appropriate,notes,judge_latency_ms,judge_cost_usd
q004,rag,True,economy class,- (policy_travel | lines 5-8) - Domestic flights must be economy class.,False,"[{""quote"": ""- Domestic flights must be economy class.\n- International flights over 8 hours may be premium economy.\n- Use the corporate card for lodging; nightly hotel cap is $210.\n- Ground transport should prioritize public transit when practical."", ""doc_id"": ""policy_travel"", ""offset"": ""lines 5-8""}, {""quote"": ""Company: Northwind Analytics"", ""doc_id"": ""policy_travel"", ""offset"": ""lines 3-3""}]",0.0,0.0,True,False,False,mock-judge,0.0,0.0
q005,keyword,True,over 8 hours,- (policy_travel | lines 5-8) - Domestic flights must be economy class.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q005,naive_gpt,True,over 8 hours,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q005,rag,True,over 8 hours,- (policy_travel | lines 5-8) - Domestic flights must be economy class.,False,"[{""quote"": ""- Domestic flights must be economy class.\n- International flights over 8 hours may be premium economy.\n- Use the corporate card for lodging; nightly hotel cap is $210.\n- Ground transport should prioritize public transit when practical."", ""doc_id"": ""policy_travel"", ""offset"": ""lines 5-8""}, {""quote"": ""Company: Northwind Analytics"", ""doc_id"": ""policy_travel"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q006,keyword,True,$210,- (policy_travel | lines 5-8) - Domestic flights must be economy class.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q006,naive_gpt,True,$210,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q006,rag,True,$210,- (policy_travel | lines 5-8) - Domestic flights must be economy class.,False,"[{""quote"": ""- Domestic flights must be economy class.\n- International flights over 8 hours may be premium economy.\n- Use the corporate card for lodging; nightly hotel cap is $210.\n- Ground transport should prioritize public transit when practical."", ""doc_id"": ""policy_travel"", ""offset"": ""lines 5-8""}, {""quote"": ""Company: Northwind Analytics"", ""doc_id"": ""policy_travel"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q007,keyword,True,Multi-factor authentication (MFA) is required,- (policy_security | lines 5-8) - Multi-factor authentication (MFA) is required for all corporate accounts.,False,[],0.0,0.0,True,False,False,mock-judge,0.0,0.0
q007,naive_gpt,True,Multi-factor authentication (MFA) is required,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q007,rag,True,Multi-factor authentication (MFA) is required,- (policy_security | lines 5-8) - Multi-factor authentication (MFA) is required for all corporate accounts.,False,"[{""quote"": ""- Multi-factor authentication (MFA) is required for all corporate accounts.\n- Passwords must be at least 12 characters and rotated every 180 days.\n- Customer data may only be stored in approved cloud storage.\n- Incidents must be reported to security within 4 hours."", ""doc_id"": ""policy_security"", ""offset"": ""lines 5-8""}, {""quote"": ""- Domestic flights must be economy class.\n- International flights over 8 hours may be premium economy.\n- Use the corporate card for lodging; nightly hotel cap is $210.\n- Ground transport should prioritize public transit when practical."", ""doc_id"": ""policy_travel"", ""offset"": ""lines 5-8""}]",0.0,0.0,True,False,False,mock-judge,0.0,0.0
q008,keyword,True,at least 12 characters and rotated every 180 days,- (policy_security | lines 5-8) - Multi-factor authentication (MFA) is required for all corporate accounts.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q008,naive_gpt,True,at least 12 characters and rotated every 180 days,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q008,rag,True,at least 12 characters and rotated every 180 days,- (policy_security | lines 5-8) - Multi-factor authentication (MFA) is required for all corporate accounts.,False,"[{""quote"": ""- Multi-factor authentication (MFA) is required for all corporate accounts.\n- Passwords must be at least 12 characters and rotated every 180 days.\n- Customer data may only be stored in approved cloud storage.\n- Incidents must be reported to security within 4 hours."", ""doc_id"": ""policy_security"", ""offset"": ""lines 5-8""}, {""quote"": ""- Domestic flights must be economy class.\n- International flights over 8 hours may be premium economy.\n- Use the corporate card for lodging; nightly hotel cap is $210.\n- Ground transport should prioritize public transit when practical."", ""doc_id"": ""policy_travel"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q009,keyword,True,within 4 hours,- (policy_security | lines 5-8) - Multi-factor authentication (MFA) is required for all corporate accounts.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q009,naive_gpt,True,within 4 hours,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q009,rag,True,within 4 hours,- (policy_security | lines 5-8) - Multi-factor authentication (MFA) is required for all corporate accounts.,False,"[{""quote"": ""- Multi-factor authentication (MFA) is required for all corporate accounts.\n- Passwords must be at least 12 characters and rotated every 180 days.\n- Customer data may only be stored in approved cloud storage.\n- Incidents must be reported to security within 4 hours."", ""doc_id"": ""policy_security"", ""offset"": ""lines 5-8""}, {""quote"": ""# Policy: Information Security"", ""doc_id"": ""policy_security"", ""offset"": ""lines 1-1""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q010,keyword,True,up to 3 days per week,- (policy_remote | lines 1-1) # Policy: Remote Work,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q010,naive_gpt,True,up to 3 days per week,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q010,rag,True,up to 3 days per week,- (policy_remote | lines 1-1) # Policy: Remote Work,False,"[{""quote"": ""# Policy: Remote Work"", ""doc_id"": ""policy_remote"", ""offset"": ""lines 1-1""}, {""quote"": ""- Employees may work remotely up to 3 days per week.\n- Core collaboration hours are 10:00-15:00 local time.\n- A stable internet connection of 25 Mbps down is required.\n- Remote work is not permitted outside the employee's country of employment."", ""doc_id"": ""policy_remote"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q011,keyword,True,10:00-15:00 local time,- (policy_remote | lines 5-8) - Employees may work remotely up to 3 days per week.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q011,naive_gpt,True,10:00-15:00 local time,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q011,rag,True,10:00-15:00 local time,- (policy_remote | lines 5-8) - Employees may work remotely up to 3 days per week.,False,"[{""quote"": ""- Employees may work remotely up to 3 days per week.\n- Core collaboration hours are 10:00-15:00 local time.\n- A stable internet connection of 25 Mbps down is required.\n- Remote work is not permitted outside the employee's country of employment."", ""doc_id"": ""policy_remote"", ""offset"": ""lines 5-8""}, {""quote"": ""- Multi-factor authentication (MFA) is required for all corporate accounts.\n- Passwords must be at least 12 characters and rotated every 180 days.\n- Customer data may only be stored in approved cloud storage.\n- Incidents must be reported to security within 4 hours."", ""doc_id"": ""policy_security"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q012,keyword,True,Remote work is not permitted outside the employee's country,- (policy_remote | lines 5-8) - Employees may work remotely up to 3 days per week.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q012,naive_gpt,True,Remote work is not permitted outside the employee's country,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q012,rag,True,Remote work is not permitted outside the employee's country,- (policy_remote | lines 5-8) - Employees may work remotely up to 3 days per week.,False,"[{""quote"": ""- Employees may work remotely up to 3 days per week.\n- Core collaboration hours are 10:00-15:00 local time.\n- A stable internet connection of 25 Mbps down is required.\n- Remote work is not permitted outside the employee's country of employment."", ""doc_id"": ""policy_remote"", ""offset"": ""lines 5-8""}, {""quote"": ""# Policy: Remote Work"", ""doc_id"": ""policy_remote"", ""offset"": ""lines 1-1""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q013,keyword,True,$55 per day,- (policy_expenses | lines 5-8) - Meals are reimbursed up to $55 per day with receipts.,False,[],0.0,0.0,True,False,False,mock-judge,0.0,0.0
q013,naive_gpt,True,$55 per day,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q013,rag,True,$55 per day,- (policy_expenses | lines 5-8) - Meals are reimbursed up to $55 per day with receipts.,False,"[{""quote"": ""- Meals are reimbursed up to $55 per day with receipts.\n- Mileage reimbursement is $0.52 per mile.\n- Office supplies under $50 do not require pre-approval.\n- Expense reports are due within 10 days of travel completion."", ""doc_id"": ""policy_expenses"", ""offset"": ""lines 5-8""}, {""quote"": ""Company: Northwind Analytics"", ""doc_id"": ""policy_travel"", ""offset"": ""lines 3-3""}]",0.0,0.0,True,False,False,mock-judge,0.0,0.0
q014,keyword,True,$0.52 per mile,- (policy_expenses | lines 5-8) - Meals are reimbursed up to $55 per day with receipts.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q014,naive_gpt,True,$0.52 per mile,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q014,rag,True,$0.52 per mile,- (policy_expenses | lines 5-8) - Meals are reimbursed up to $55 per day with receipts.,False,"[{""quote"": ""- Meals are reimbursed up to $55 per day with receipts.\n- Mileage reimbursement is $0.52 per mile.\n- Office supplies under $50 do not require pre-approval.\n- Expense reports are due within 10 days of travel completion."", ""doc_id"": ""policy_expenses"", ""offset"": ""lines 5-8""}, {""quote"": ""Company: Northwind Analytics"", ""doc_id"": ""policy_travel"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q015,keyword,True,within 10 days,- (policy_expenses | lines 5-8) - Meals are reimbursed up to $55 per day with receipts.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q015,naive_gpt,True,within 10 days,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q015,rag,True,within 10 days,- (policy_expenses | lines 5-8) - Meals are reimbursed up to $55 per day with receipts.,False,"[{""quote"": ""- Meals are reimbursed up to $55 per day with receipts.\n- Mileage reimbursement is $0.52 per mile.\n- Office supplies under $50 do not require pre-approval.\n- Expense reports are due within 10 days of travel completion."", ""doc_id"": ""policy_expenses"", ""offset"": ""lines 5-8""}, {""quote"": ""# Policy: Travel"", ""doc_id"": ""policy_travel"", ""offset"": ""lines 1-1""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q016,keyword,True,192.168.1.1,- (manual_setup | lines 3-3) Model: AX-200,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q016,naive_gpt,True,192.168.1.1,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q016,rag,True,192.168.1.1,- (manual_setup | lines 3-3) Model: AX-200,False,"[{""quote"": ""Model: AX-200"", ""doc_id"": ""manual_setup"", ""offset"": ""lines 3-3""}, {""quote"": ""Model: AX-200"", ""doc_id"": ""manual_router"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q017,keyword,True,12 seconds,- (manual_setup | lines 3-3) Model: AX-200,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q017,naive_gpt,True,12 seconds,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q017,rag,True,12 seconds,- (manual_setup | lines 3-3) Model: AX-200,False,"[{""quote"": ""Model: AX-200"", ""doc_id"": ""manual_setup"", ""offset"": ""lines 3-3""}, {""quote"": ""Model: AX-200"", ""doc_id"": ""manual_router"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q018,keyword,True,connected,- (manual_setup | lines 3-3) Model: AX-200,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q018,naive_gpt,True,connected,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q018,rag,True,connected,- (manual_setup | lines 3-3) Model: AX-200,False,"[{""quote"": ""Model: AX-200"", ""doc_id"": ""manual_setup"", ""offset"": ""lines 3-3""}, {""quote"": ""Model: AX-200"", ""doc_id"": ""manual_router"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q019,keyword,True,2.4 GHz and 5 GHz bands,- (manual_setup | lines 3-3) Model: AX-200,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q019,naive_gpt,True,2.4 GHz and 5 GHz bands,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q019,rag,True,2.4 GHz and 5 GHz bands,- (manual_setup | lines 3-3) Model: AX-200,False,"[{""quote"": ""Model: AX-200"", ""doc_id"": ""manual_setup"", ""offset"": ""lines 3-3""}, {""quote"": ""Model: AX-200"", ""doc_id"": ""manual_router"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q020,keyword,True,AetherX mobile app,- (manual_setup | lines 1-1) # Product Manual: AetherX Router Setup,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q020,naive_gpt,True,AetherX mobile app,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q020,rag,True,AetherX mobile app,- (manual_setup | lines 1-1) # Product Manual: AetherX Router Setup,False,"[{""quote"": ""# Product Manual: AetherX Router Setup"", ""doc_id"": ""manual_setup"", ""offset"": ""lines 1-1""}, {""quote"": ""# Product Manual: AetherX Router"", ""doc_id"": ""manual_router"", ""offset"": ""lines 1-1""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q021,keyword,True,username admin and password aetherx,- (manual_setup | lines 5-8) - Initial setup uses the AetherX mobile app (iOS/Android).,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q021,naive_gpt,True,username admin and password aetherx,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q021,rag,True,username admin and password aetherx,- (manual_setup | lines 5-8) - Initial setup uses the AetherX mobile app (iOS/Android).,False,"[{""quote"": ""- Initial setup uses the AetherX mobile app (iOS/Android).\n- Default admin username is \""admin\"" and password is \""aetherx\"".\n- Change the admin password on first login.\n- Guest network can be enabled under Settings > Wi-Fi."", ""doc_id"": ""manual_setup"", ""offset"": ""lines 5-8""}, {""quote"": ""Model: AX-200"", ""doc_id"": ""manual_router"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q022,keyword,True,Settings > Wi-Fi,- (manual_setup | lines 3-3) Model: AX-200,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q022,naive_gpt,True,Settings > Wi-Fi,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q022,rag,True,Settings > Wi-Fi,- (manual_setup | lines 3-3) Model: AX-200,False,"[{""quote"": ""Model: AX-200"", ""doc_id"": ""manual_setup"", ""offset"": ""lines 3-3""}, {""quote"": ""Model: AX-200"", ""doc_id"": ""manual_router"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q023,keyword,True,quarterly,- (manual_setup | lines 3-3) Model: AX-200,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q023,naive_gpt,True,quarterly,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q023,rag,True,quarterly,- (manual_setup | lines 3-3) Model: AX-200,False,"[{""quote"": ""Model: AX-200"", ""doc_id"": ""manual_setup"", ""offset"": ""lines 3-3""}, {""quote"": ""Model: AX-200"", ""doc_id"": ""manual_router"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q024,keyword,True,6 minutes,- (manual_router | lines 1-1) # Product Manual: AetherX Router,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q024,naive_gpt,True,6 minutes,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q024,rag,True,6 minutes,- (manual_router | lines 1-1) # Product Manual: AetherX Router,False,"[{""quote"": ""# Product Manual: AetherX Router"", ""doc_id"": ""manual_router"", ""offset"": ""lines 1-1""}, {""quote"": ""- Firmware updates are released quarterly.\n- During update, do not unplug the router for 6 minutes.\n- To back up settings, go to Admin > Backup and export a .cfg file.\n- Operating temperature range is 0-40 C."", ""doc_id"": ""manual_maintenance"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q025,keyword,True,Admin > Backup,- (manual_router | lines 1-1) # Product Manual: AetherX Router,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q025,naive_gpt,True,Admin > Backup,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q025,rag,True,Admin > Backup,- (manual_router | lines 1-1) # Product Manual: AetherX Router,False,"[{""quote"": ""# Product Manual: AetherX Router"", ""doc_id"": ""manual_router"", ""offset"": ""lines 1-1""}, {""quote"": ""- Firmware updates are released quarterly.\n- During update, do not unplug the router for 6 minutes.\n- To back up settings, go to Admin > Backup and export a .cfg file.\n- Operating temperature range is 0-40 C."", ""doc_id"": ""manual_maintenance"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q026,keyword,True,0-40 C,- (manual_setup | lines 3-3) Model: AX-200,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q026,naive_gpt,True,0-40 C,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q026,rag,True,0-40 C,- (manual_setup | lines 3-3) Model: AX-200,False,"[{""quote"": ""Model: AX-200"", ""doc_id"": ""manual_setup"", ""offset"": ""lines 3-3""}, {""quote"": ""Model: AX-200"", ""doc_id"": ""manual_router"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q027,keyword,True,temperature and humidity,- (manual_sensor | lines 1-1) # Product Manual: AetherX Sensor,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q027,naive_gpt,True,temperature and humidity,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q027,rag,True,temperature and humidity,- (manual_sensor | lines 1-1) # Product Manual: AetherX Sensor,False,"[{""quote"": ""# Product Manual: AetherX Sensor"", ""doc_id"": ""manual_sensor"", ""offset"": ""lines 1-1""}, {""quote"": ""Model: AS-10"", ""doc_id"": ""manual_sensor"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q028,keyword,True,18 months,- (manual_sensor | lines 5-8) - The AS-10 sensor measures temperature and humidity.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q028,naive_gpt,True,18 months,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q028,rag,True,18 months,- (manual_sensor | lines 5-8) - The AS-10 sensor measures temperature and humidity.,False,"[{""quote"": ""- The AS-10 sensor measures temperature and humidity.\n- Battery life is 18 months under normal use.\n- Calibration interval is every 12 months.\n- The pairing button must be pressed for 3 seconds."", ""doc_id"": ""manual_sensor"", ""offset"": ""lines 5-8""}, {""quote"": ""# Product Manual: AetherX Sensor"", ""doc_id"": ""manual_sensor"", ""offset"": ""lines 1-1""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q029,keyword,True,3 seconds,- (manual_sensor | lines 5-8) - The AS-10 sensor measures temperature and humidity.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q029,naive_gpt,True,3 seconds,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q029,rag,True,3 seconds,- (manual_sensor | lines 5-8) - The AS-10 sensor measures temperature and humidity.,False,"[{""quote"": ""- The AS-10 sensor measures temperature and humidity.\n- Battery life is 18 months under normal use.\n- Calibration interval is every 12 months.\n- The pairing button must be pressed for 3 seconds."", ""doc_id"": ""manual_sensor"", ""offset"": ""lines 5-8""}, {""quote"": ""Model: AS-10"", ""doc_id"": ""manual_sensor"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q030,keyword,True,up to 32 devices,- (manual_hub | lines 3-3) Model: AH-5,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q030,naive_gpt,True,up to 32 devices,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q030,rag,True,up to 32 devices,- (manual_hub | lines 3-3) Model: AH-5,False,"[{""quote"": ""Model: AH-5"", ""doc_id"": ""manual_hub"", ""offset"": ""lines 3-3""}, {""quote"": ""- The hub connects up to 32 devices.\n- Ethernet port supports 1 Gbps.\n- LED ring is green when all devices are online.\n- Factory reset is performed via the web dashboard."", ""doc_id"": ""manual_hub"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q031,keyword,True,3.5 C,- (article_heat_islands | lines 5-8) - A 2022 field study measured surface temperature in three districts.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q031,naive_gpt,True,3.5 C,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q031,rag,True,3.5 C,- (article_heat_islands | lines 5-8) - A 2022 field study measured surface temperature in three districts.,False,"[{""quote"": ""- A 2022 field study measured surface temperature in three districts.\n- Increasing canopy cover by 20% reduced peak surface temperature by 3.5 C.\n- The study used thermal imaging at 2 pm during summer months.\n- The authors recommend planting native broadleaf species."", ""doc_id"": ""article_heat_islands"", ""offset"": ""lines 5-8""}, {""quote"": ""- High-albedo pavement reduced surface temperature by 2.1 C.\n- Dark asphalt increased surface temperature by 1.8 C relative to control.\n- The effect was strongest on clear-sky days.\n- Reflectivity was measured with a portable spectrometer."", ""doc_id"": ""article_findings"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q032,keyword,True,2 pm,- (policy_pto | lines 1-1) # Policy: Paid Time Off,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q032,naive_gpt,True,2 pm,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q032,rag,True,2 pm,- (policy_pto | lines 1-1) # Policy: Paid Time Off,False,"[{""quote"": ""# Policy: Paid Time Off"", ""doc_id"": ""policy_pto"", ""offset"": ""lines 1-1""}, {""quote"": ""- A 2022 field study measured surface temperature in three districts.\n- Increasing canopy cover by 20% reduced peak surface temperature by 3.5 C.\n- The study used thermal imaging at 2 pm during summer months.\n- The authors recommend planting native broadleaf species."", ""doc_id"": ""article_heat_islands"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q033,keyword,True,1.5 meters above ground,- (article_methods | lines 3-3) Title: Measurement Protocols,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q033,naive_gpt,True,1.5 meters above ground,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q033,rag,True,1.5 meters above ground,- (article_methods | lines 3-3) Title: Measurement Protocols,False,"[{""quote"": ""Title: Measurement Protocols"", ""doc_id"": ""article_methods"", ""offset"": ""lines 3-3""}, {""quote"": ""- Sensors were placed at 1.5 meters above ground.\n- Data were logged every 10 minutes.\n- Control sites had less than 5% canopy cover.\n- Statistical analysis used a paired t-test with alpha 0.05."", ""doc_id"": ""article_methods"", ""offset"": ""lines 5-8""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q034,keyword,True,every 10 minutes,- (article_methods | lines 5-8) - Sensors were placed at 1.5 meters above ground.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q034,naive_gpt,True,every 10 minutes,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q034,rag,True,every 10 minutes,- (article_methods | lines 5-8) - Sensors were placed at 1.5 meters above ground.,False,"[{""quote"": ""- Sensors were placed at 1.5 meters above ground.\n- Data were logged every 10 minutes.\n- Control sites had less than 5% canopy cover.\n- Statistical analysis used a paired t-test with alpha 0.05."", ""doc_id"": ""article_methods"", ""offset"": ""lines 5-8""}, {""quote"": ""Title: Study Constraints"", ""doc_id"": ""article_limitations"", ""offset"": ""lines 3-3""}]",0.0,0.0,False,True,False,mock-judge,0.0,0.0
q035,keyword,True,paired t-test with alpha 0.05,- (article_methods | lines 5-8) - Sensors were placed at 1.5 meters above ground.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
q035,naive_gpt,True,paired t-test with alpha 0.05,Mock answer generated without evidence.,False,[],0.0,0.0,False,True,False,mock-judge,0.0,0.0
